chunk3360 我这儿把电池放里面它怎么显示换电失败是怎么回事
chunk1861 我重购买一张套餐然后我这显示只有六十伏我更换不了四十八伏呀
chunk8057 这边怎么扫不了他扫进去他说请开启蓝牙但是我蓝牙是开着的呀
chunk1239 咱们充电桩头有没有在校区里面室外安装的
chunk4929 我上一个电池的站点你能帮我退了吗我现在换电车了已经
chunk4567 50995五百9五百9
chunk7427 我就上次说了一下那个客服上次跟我说就把我套餐给寄存一下就等于把时间给暂停了然后他说可以帮助我把电池给换到剩下的套餐给换到一个别的号上可以吗
chunk5621 为什么扣了五百块钱
chunk1660 050305结尾柜电池我塞进去了换不出来了
chunk6527 我这电池怎么无法放电
chunk4320 刚才我不小心把门关了现在我再扫一下电池出不来
chunk4496 我把电池放进去了但是新电池老换了几台机器的都这样
chunk846 我的手机号是130
chunk5732 货都两个电柜怎么一直都是显示离线
chunk8215 我在两个地方买了这个月的套餐冲突了能不能退回来一个月的
chunk2943 怎么现在这电池有点热了
chunk290 我电池换电的时候放进柜子然后就打不开了然后重新找它也不开
chunk3569 我看一下是元宵喜乐猜字谜赢充电金
chunk7235 我换电你能给我设上明天早晨起来六点吗
chunk5570 重新扫码它识别成功了但不是像扫码弹出来的
chunk831 我这边就换电的时候电池放进去了然后窗口没弹出来应该是放的位置不
chunk5310 你这里扣了我五百
chunk5652 套餐问题
chunk4100 我之前是用的六十的嘛都是普通的我今天换了一个max的但是电池太大了我的车箱放不进怎么办
chunk2359 我这边的地区好像充电充不了了他说显示什么错误
chunk5444 我们套餐还没使用怎么不能退款能不能退款
chunk3711 我电池你我电池放进去出不来了
chunk7081 刚我扫了码取线然后它没出线嘛
chunk4274 我租的电柜的时候结果因为手机上误操作了一下把本来还想用专属电柜的结果做成其他平时用的电柜了可以转成专属电柜吗
chunk393 我在山东省惠保电话地方充电现在我扫完码了结果充不上电
chunk1890 你是那充电小斑马吗
chunk6037 我想现在退电池了但是他这附近的都满了退不回去
chunk2866 你这锂电池电柜烟台开发区有没有
chunk6900 我这边没有空格还电你帮我搞一下吧
chunk5795 为什么我账号登上去显示服务器失败呀
chunk1793 他有在微信上绑定的是一个低电量提醒吗
chunk330 上次我租了个电池然后几天没用我点了暂存现在怎么过期了
chunk8438 我刚不是打电话我就我到你说那地方还是存不了
chunk1 我刚扫我换电了然后扫了之后把电池放到九号柜子里面了然后怎么不出电池你这二号柜子怎么又出来一个空格的还让我放入电池啥意思
chunk7454 我换了电池他拿不出来了门开不开
chunk1003 我现在有我套餐寄存了然后我想着这边取个电池出来然后对这边显示没有可用满电时候就还要再跑两公里
chunk1262 我院子小斑马它怎么断电了没法充是不是要报修一下
chunk5593 我原来在其他站点要换一个站点电瓶已经放进去了帮我处理下
chunk1257 那我还得输入密码啥的不太方便
chunk3696 我不是昨天弄的APP吗为什么它的定位我把定位定成了始终它还是定不了位我找不到换电的地方
chunk7619 这里换电的话东莞跟深圳能不能通用
chunk7339 我租电池嘛按度扣款行不行
chunk7285 扫码了为啥进不去这有两个显示的怎么没有呢打不开
chunk1848 我寄存了为什么还是给我天数给我分期走了
chunk8345 我不是交了钱然后我想把它登上去登不上去
chunk2559 我换电失败了他电瓶也出不来
chunk3097 我电池一直给我说是我在充电我都没在充电他还说我在充电这是什么原因
chunk3126 我这边要取电他说是什么未知换电站他要我叫你们帮忙取电
chunk1968 我在东一街换电柜一号柜我电池放里面了打不开了新电池我这不出来
chunk6148 我是新开的然后我让车行帮我装但是他说接头的话说要我打电话跟你们要的话才可以拿到是吗他不是有个接头吗转换线吗
chunk325 我这是下午我有打过电话的那有备注的我要退一点我电池用不了
chunk2729 你账号登录的好的为什么要重新登录把我账号抹掉了又让我重新登录要问要验证码
chunk5166 你这个电池深圳那边有吗
chunk7982 我这边想从四十八换到六十有套餐还有时间
chunk7180 我地方我领了电池但是它没线线它没出来呀
chunk5817 我这是不是有一个新的线可以取
chunk7496 你帮我查一下我刚退的押金你看你帮我查一下到账了没有
chunk2934 我之前那套餐逾期了过年前我忘记还了因为我赶时间要上车然后逾期了现在我要还电池他扫码扫码打不开他说要支付两百的费用
chunk5458 我人在外地然后我让我朋友帮我退电然后你帮我看一下电池有没有退还掉
chunk5720 第二工业区的充电桩为什么全部停掉了
chunk3218 我把电池放错了人家扫码我放错了现在电我电池没开出来
chunk419 你们充电是按时间算还是按电量算
chunk4939 我刚把电退了然后我又租了一个电池他那边给我说弄不好那边叫你们这边弄一下
chunk5672 赔付的钱能按原路退回吗
chunk8099 我换电是我账号是个人用的然后我看一下他是月是到几号结束
chunk2366 我上午拉了两个新用户拉一个50块钱那个奖励么钱呢没看到呀
chunk3149 说你能不能帮我反映一下我是杭州拱墅区了我就说你们有场地跟你们服务的你能不能帮我上面给我反馈一下事情
chunk682 我现在电池放进去了但是柜子识别不了现在换电换不了
chunk8431 我电池不租了我刚今天刚续费的不租了可不可以退的
chunk4137 我重新逾期钱我现在不用了可不可以退
chunk122 刚才我存了一个电瓶存进去了他不给我那叫什么换电失败了
chunk8195 我是电池去扫码的时候他始终告诉我需要连接蓝牙
chunk1369 刚才我存电池他柜儿没开是我想着寄存一下因为我这两天先不用
chunk4475 我现在能转换吗还可以可以定时替换是吧
chunk6071 我之前的手机号找不到用不了了然后帮我换一下手机号
chunk2149 我之前充电没到时间把那里边钱退给我
chunk6390 那电池老子拿不出来又不会显示有多少电量的
chunk6876 我电池放进箱子里边了他上面说的是检测电池成功关键是他为啥他不开第二个门
chunk2473 我上次问题没解决上个客服接的
chunk5260 我刚才在换了一个电在擦布里那里换的但是忘了把线装进去了但线当时没取下来线在里面呢现在电池里面你能不能帮我把柜打开我把那线取出来
chunk4074 我租的电池暂时不用了我想寄存为什么它不支持他让仅退电池
chunk7559 你们杭州分公司在哪里
chunk5507 我把电池放进去了他说我换电失败扣电失败
chunk2533 这个线材我手机上显示齐了但是它没掉下来
chunk3002 我账号的这锂换电为什么显示我还要待守约是什么意思
chunk8307 那线材那多长时间能送过来
chunk1911 我想你协助我一下取一下电池
chunk287 我现在是我在海珠区地方海珠区附近很多站点的是不是然后你收不到他没有他说很远的他到天河区那边去了那边才有搜索的站点就说换电的地方
chunk6186 我电动车充电我明在上面显示是一块钱充五个小时我只充了四个小时就断电了怎么回事
chunk2093 哪一条线没有出来
chunk3159 20202126264340
chunk6886 我充电插上去以后它没充刚插上去它一下响一下它就它就不再充了不知道什么原因
chunk705 兄弟我们小区想安小班马充电桩了嘛那怎么联系你们的
chunk4613 我说你们电是什么情况他妈老是把电拔了干啥呀我们换电瓶都换不了搞什么嘛我已经投入几次了呀干嘛还呢
chunk1822 你们这边公司是哪个换电平台
chunk5001 我这电池现在到期了但是我是后天钱才下来能给我开一天两天吗
chunk7197 我套餐到期了然后我现在电池它不通电了你可以帮我开一下吗然后我去换一下电池
chunk1501 我昨天也是这边的想办法充电充电桩怎么一直没有联系我
chunk303 不是新出六十伏没有电
chunk5002 我在青岛黄岛区租了个电池但是我现在把电池寄存了我想在市北这边用完了之后我在市北这边怎么找电池出来
chunk338 你记一下2022
chunk7295 我这里有个格怎么两个不能打开怎么寄存的
chunk4268 我在APP上办了一个套餐能不能帮忙催一下子吗我这边已经等了两个小时了
chunk6974 我刚打电话的里面好像没线了我支付成功了弄了两次了
chunk6058 我要去外地可能有十来天所以我电池我寄存我扫码过后它提示仅退电没有寄存的是怎么回事呢
chunk2760 上次回去过年嘛过年了不是逾期了几天吗逾期几天好像扣了一个五百块钱本来我账号是免押的五百块钱怎么退出来
chunk799 我在福山小区这边找你们定位找不到
chunk1242 我之前在这锂上用过但是他说是不有个退电费吗退电费怎么一直取不出来呢昨天取了它显示是提现了但今天这上面又显示一个提现金四十九还是一样的
chunk7637 我电池怎么退它总是显示要寄存退掉怎么退因为我去年的时候当时退好像也没有退还的选项只有寄存的一个选项
chunk5620 我这边帮骑手还两个电池
chunk659 我在这边换电它没有空箱了我电池放不进去你能不能先给我把电池搞出来然后把我的电池放进去
chunk1622 我电池我下错订单了根本我电动车就用不上我刚扫码拿了电池出来才发觉
chunk5394 你能帮我查一下一个啥充电手机的号他昨天晚上充了多少度
chunk3627 套餐能我才刚买的一次没用可以退款吗
chunk5320 换电柜取的这根线呢老是接触不良
chunk7826 我手机号的我今年要开通套餐吗之前我有一个月没用停了的然后的话它现在是要是显示说站长那边要退了给退了之后才能帮我开通
chunk7885 电柜还没修
chunk4534 这里有个换电柜然后他所有的都已经关上了然后我已经扫了五六次了它就还是显示还是显示还没有关上我都扫了五六次而且每个都关的严实的
chunk6197 我有一个电池国庆的时候我都没用但是天数它还是会流失了不知道是怎么回事
chunk4563 我之前存的电池我是寄存了还有十多天为什么现在看只有三天了
chunk3811 我过年前我把电池放到电柜里面当时显示套餐已经冻结了我现在回来想重新换电单这边显示我已经使用了十多天存寄失败是什么原因
chunk4694 正常走验证码验证码然后弄完之后呢显示什么什么y什么
chunk5814 扫数字是吧202
chunk4888 我现在常州跑外卖如果说我想去上海的话经过苏州无锡还有上海能不能换用你这锂换电
chunk4875 退电池的话直接自己在APP上面直接申请吧
chunk48 你往哪里面翻插不进去他都插不到底正常是能插到底的知道吧这都插不到底只能插一半然后往里面插怎么用劲也插不进去也插不动你现在我这在走的路上我都要搞你这耽误事情很耽误事情的
chunk4185 我这里边余额能退能退出来吗
chunk2726 他是退给我是直接退到我手机里面还是退到我的银行账号上卡直接扣卡的沿路返回吗
chunk3132 我刚退了一个电池然后电池丢进去了他说我退电失败的怎么回事
chunk755 我现在换电这一个我给电池换电空箱也它怎么显示在未放入空箱
chunk3722 充电的话余额的话能不能退呀
chunk6686 你们我可以退出吗
chunk5977 刚才是不是有拉新怎么没有福利呢
chunk359 说我普通的六十还有四十八伏的电池能换成max吗
chunk6190 我现在电池放进去拿不出来了我给你报一下编号是手机号1478083439
chunk6775 我电池已经退租了但是他之前绑的支付宝现在要怎么解除绑定呢
chunk6716 我需要换块电池我把电柜编号报给你嘛
chunk264 卡里的余额怎么退呀
chunk3888 我在雅迪这边买了一台电动车然后我想租电池他说得改线我要去哪里改
chunk791 我就刚来了我不知道因为啥
chunk954 我取电取不了它显示没有换电站我在电柜边上
chunk6563 退电池然后退不了怎么找到退了然后他又给我退一个找到退了还给我退一个
chunk4232 我现在我已经昨天就到期了我以前是四十八max嘛现在换成四十八的因为我没有跑那么远不用跑那么远现在怎么换不了嘞
chunk4041 线材我扫码然后查不出来
chunk1756 苏州的电池无锡能不能用
chunk3592 我换电这锂换电我放错柜子了关上了但是我现在扫不了了
chunk639 注册号码我要看一下
chunk578 您查一下我们小区怎么一直离线着嘞充电的
chunk1609 我把电池还进去了然后我要退押金押金是什么时候到账
chunk452 我在布吉这边换电但是它显示要求我去福田那边换电就我在深圳嘛让我去另外一个区域换电这是为什么
chunk3445 156的号是吗15663我看下这
chunk8455 我有一个账号嘛然后我以前的卡换掉了然后我现在登不进去了我要换电因为前段时间我没登
chunk4432 我这里寄存怎么寄存不了
chunk4529 我电池已经退了
chunk8242 我这里存电瓶怎么存不了了呢
chunk4517 我电池还有百分之六十八的电然后在我电动车上它已经就跑到不下于二十五迈了这怎么回事
chunk4368 我刚充值不小心付错钱了可以重新充值吗
chunk706 查一下这些事的话押金多少
chunk2863 刚才我打开APP上面显示在保护状态我看一下
chunk4606 你APP是这手机号吧你帮我查一下我手机号的账号押金有没有退呀
chunk1434 你们这锂换电我是在深圳这边嘛然后东莞那边跨市的话没有的换的是吧
chunk7429 我刚才在阿姨车说好像门口有个饭店然后说四号门四号门没开我不小心我给他换五号门进去了然后这电池不对称了
chunk7654 我是一个车子我是一个九号的车子然后我想你那六十伏的我不是九号需要我是铅酸电池我要换锂电模块你们那有没有模块
chunk2605 我这个线材没有出来
chunk1192 我把电池放到柜子里面了刚开始那灯没亮了忽然亮了现在电池也不给我吐出来了
chunk5187 这锂换电怎么绑不了微信
chunk30 帮我开一下十一号舱门我东西放进去了
chunk2281 你我电池现在不想用了然后现在可转给转租给别人吗我现在账号上面
chunk7369 我在这换电告诉我没有空箱能不能给我开一下
chunk723 我电池年前去寄存了我现在要用我现在直接转成六十安的不行是吧
chunk4801 你这边换电你壳子都没有放不进去了你后壳我拿出来后壳都没有
chunk2026 刚才线财没有出来
chunk683 我如果我电瓶没我的电瓶不被偷了吗没找到的话要赔多少钱
chunk7530 刚扫那扫不了怎么没有反应
chunk1176 13390864127
chunk4859 我之前国庆十月一号的时候我把电池放在柜子里面然后存好然后就今天取的时候他吃了我好几小时的时间
chunk5818 闪送我电不是还在寄存吗
chunk7286 我现在202004240068店换电柜子怎么扫码换不了电了
chunk5189 我的车我朋友在骑我想把我买的套餐给激活让他把电池取出来我人不在那里可以吗
chunk3702 你这锂换电的话台州有的吧
chunk162 我前面电池它这边有两个弹窗我放错弹窗了
chunk3336 我电池放进去我扫码扫了两个他不出来不出来我上另外一个箱子了他开就开个空压这里就找不出来了
chunk6939 你们这边客服是青岛这边的还是哪里的
chunk8234 我刚寄存电池然后我扫开了没有还进然后我现在重新扫它显示取消失败
chunk1728 我这个电池的话你先帮我暂停吧我车被偷了
chunk4460 我注册的手机号忘带了我寄存一下电池
chunk6335 我电池弄进去他没给我开门这是怎么弄
chunk2495 我刚刚扫一个电然后电池放进去了它显示我什么超时三分钟然后取不出来然后我又扫一下它他给我又开了一个空柜子我现在没法弄了
chunk1395 你们电池是怎么加盟的
chunk2066 我电池换成四十八伏的比我原先电池高出来一些
chunk6964 我这里换电我电池套餐还在用但是他这边提示我有逾期这是什么情况你可以帮我看一下吗
chunk673 我扫码扫的插头线怎么扫了两次的四十块钱怎么线从哪里来我都我哪里错了我都不知道
chunk3794 我现在泉州地方用你们的换电柜然后我现在付押金收款方是杭州宇谷科技有限公司没收到
chunk7710 如果说我换了一次电或者我没电我要替换了怎么办呢
chunk3418 我是这锂的租户这锂的六十伏电瓶怎么用可以退电一下吗
chunk8449 我电池被吞了这能重新开柜吗手机尾号是吧
chunk5480 我电柜他不弹出电池
chunk1206 刚才我用你家电池我现在查控不一样今天才处理的
chunk6851 换上海市我奉贤这边好像有多换电桩多吗
chunk3333 我换电有个把电池放进去他不开门的
chunk3709 十五分钟之前我打过你们的电话说我线材在里面卡住了然后你让我们你让我等一下结果等了十多分钟都没有工作人员打给我你能不能帮我催一下
chunk7674 那这锂换电跨地这是不能通用吗
chunk5348 扫了码之后换电我把旧电池放进去之后他没有弹新电池
chunk1818 现在这里的电池怎么越来越不耐用了
chunk7992 我这边想租一个电池你们有六十伏的吗
chunk3895 我还剩十六天呢
chunk3545 银康路怡园小区的就充电桩设备为啥都是离线状态呀
chunk7373 13859548250
chunk4522 我在国庆假期的时候我给你们打个电话你现在我要去换电或者退电你要帮我电池开启我才能骑车过去
chunk7586 我刚才打电话来咨询过了我现在是走越城区那边到了上虞这边我电柜换不了电
chunk2757 我充电充不上去他显示已冻结什么意思
chunk2011 我套餐可以退
chunk6183 能帮我查一下我有什么问题吗我是刚开始用的刚才在发消息说我这存在安全隐患
chunk8409 我刚租的套餐然后你们的电池我没有一个转接线能用的
chunk4192 我在这里租了个电池然后没有线材了怎么搞
chunk8141 我取线的时候取了两根钱也付了一根线都没吐出来
chunk569 我刚买是我朋友帮我代买的买错了然后我退押金了但我购买套餐的钱可以退吗
chunk3847 我现在龙兴佳苑三号院电柜这边
chunk7118 我电池放进去了不出来了没弹出来呀
chunk6656 我这锂换电的电池插进去了没弹出来呀箱门没开
chunk6557 那我押金退了以后我套餐买的套餐还是正常使用是吧
chunk1141 你们租锂电是啷个收费的
chunk170 我今天早上我把电池取出来然后那会儿显示三十一天二十小时为什么这刚过了九个小时那二十二个小时不见了现在还有三十天二十三个小时
chunk1061 我电池放反还回去的时候放反放反了他我现在重新找了个他盘了另外一个柜子给我
chunk2391 我就在这锂换电不是那个换线嘛我扫了付钱了那个线怎么没掉出来呢
chunk7194 这会换电它显示让我交一千块钱的押金是怎么回事
chunk6635 我媳妇儿给我注册的号
chunk2520 我这里需要换电能帮我打开一个柜门吗
chunk2006 不是到期导致的断电这电池是没电了现在只剩百分之一
chunk4314 我电池已经放出去了之后他就打开新的柜门门打不开呀这新的柜门这老是开了我操好几遍了
chunk4316 怎么突然扣费扣五百是什么意思
chunk4181 我昨天我找你们人工我就找你们线上客服告诉我逾期我处理逾期费用他说不用支付逾期费用了完了直接续费就行了
chunk4168 我昨天晚上将近十点充然后选了一个四小时一块二的但是充了一个小时就自动给我断掉然后钱也没有退给我
chunk8376 我车月都没有租为什么还是扣钱
chunk6691 他怎么经常充不上去呢什么原因那边是没修好吗
chunk6305 上次我跟你们说的事情你们为什么还没有处理呢
chunk4969 我充电小斑马我买了一个保护器吧我插上我充电了他说不连接是怎么回事
chunk1402 刚才我这两天这两有两次了我换给徐永华讲的那边换完电他就换完电它电瓶就亏电怎么回事
chunk8314 我刚才扫码然后他没给我刚才扫码把电池放进去他没给我弹出另外一个窗
chunk1457 充电桩的业务想在我是咱们小区的物业我想跟这怎么来装多少钱什么的这业务项目
chunk6412 我的电池现在保护了可以重新放电吗
chunk6031 我刚租了电池但是它会断电是什么情况
chunk2870 我换电柜电瓶放进去之后它没有新电瓶弹出来
chunk6832 我车子是四十八伏的我要换电怎么换呀
chunk8078 他电池进去然后不开仓门然后再次扫码就没有用了
chunk4315 我这电池被柜子吃了呀我投进去以后没开门它
chunk5968 我电池说已经归还你们可能有一个多月了现在我要跑单你们现在电池都还没给我开通的嘛
chunk1807 我现在把电瓶给寄存了然后我现在账号还是使用中
chunk4317 麻烦帮我开一个电我换了退电但是他有两个格子但是他不开
chunk8259 换有电池了这里都没有电没有空过
chunk3524 银行卡退不退
chunk3860 电池刚租过来我想说你工作嘛没确定没确定外卖人家不说也不好我想把电池退了不租了能不能退
chunk5350 帮我开一下电池我准备把电池还了然后我再去换
chunk7442 我这两天要回老家一趟我是说想省一下把电池退掉然后是编号告诉你是吧20
chunk227 我现在是在无锡市罗湖镇这边甘露有一个电柜你们能不能补一点电池
chunk1381 我这里是上海我这边有你们家的充电桩嘛真旺路七八九号你帮我查一下
chunk390 我刚才换电的时候转接头一起放到里面了我没拔出来能不能帮我开一下
chunk5197 你们花都区这边有没有专门负责搞电池的那种负责人员
chunk6294 我是第一次取电瓶我取电瓶线材我忘记拿了现在怎么办
chunk4202 我刚才换了换了一趟忘记把头拔出来了你能帮我开一下箱子吗
chunk2887 我换了个电池插不进去我想再换换不了了你能帮我再换一个电池吗
chunk5388 这边四份我看一下这叫什么四份的四份的换电怎么没有四份车行的换电这换电乡镇的
chunk8310 我昨天反映我们这边配电柜没有电池能不能给一个解决方案你告诉我今天怎么过
chunk5460 我上次的话有一个线材我重新缴了费然后你们这边说让我重新联系你们给我补贴几天费用电池
chunk765 351你不确定1901907
chunk7004 你们这边刚开始租的话是多少钱一个月
chunk4273 刚又换了一个还是16号都不管用
chunk677 1367368383
chunk3752 就我刚骑的还好的我就停这里换个电然后电池插上就没反应了
chunk7981 我电池赔付完电池找着了我怎么能申请退款
chunk4991 我就有一个小问题我账号你看得到吗我不知道怎么签
chunk3959 帮我查一下编码柜子放不了电池
chunk4887 前两天我是办了你们月套餐然后我现在用了三天又不想用了怎么退
chunk8128 我现在想退掉电池现在上面退电池选项怎么没看到
chunk6612 我永康买的套餐他在杭州是不是不能用的
chunk7023 我在这换电我放进去这块电瓶出不来了
chunk4045 我这边电池放进去过后出不来
chunk7986 他手机上显示领取成功但是他没有出来
chunk2839 你们新投的六十叫什么
chunk3482 你换电的要转接线的吗
chunk3315 我二十五号租的电池我二十四号就不能换了
chunk5924 202108100280
chunk7830 电池的使用范围是
chunk7478 麻烦你眼神我也不好我没文化我把电池我现在不用了完了我想退的押金呢我也不知道操作明白吗麻烦你给我查一下子呗
chunk2638 不光国卫所有的换电柜基本上电池都没有了国威比较远
chunk1421 我把线材遗留到里边了
chunk5202 我押金如果我要退的话是先到咱们软件上面是吧
chunk3131 我订单有一笔为什么被扣了五百块呢我才看见
chunk4556 我刚才在你们充电桩充电然后好像没有充上去我后来又扫了第二遍第二遍也没有充上去
chunk1005 我退电池怎么退他不信退还呢
chunk7615 我想寄存电池我这边扫码它怎么在柜子之后它显示什么没有什么换电的箱还是怎么回事
chunk322 不是我充了才上来直接上楼的
chunk6992 我们这边充电动车充电充了一下没电了坏了是怎么弄的
chunk7367 我退电池怎么找个地方找个地方退不了
chunk2358 刚才我拉了一个新他怎么没到账呢
chunk3674 我不小心把我的电池放到别的空格里边了然后空格里边那电池放了我电池取不出来了
chunk39 那我慢慢执行如果租四十八伏max的电池但是有的地图上面它显示很多地方是没办法换的那我可以去换那种四十八伏的用吗
chunk5848 我现在大兴区魏善庄南延什么伐村这里有没有换电柜的我找半天没找着这道上没有人是拆了吗
chunk7538 我想转换成六十的电池可以吗
chunk2465 我把那个线给放进去了我门也关上了
chunk6048 我电池放进去了之后没有开门2021001040030
chunk5305 刚刚拉新的然后为什么它显示拉新失败呀
chunk7733 深圳有换电吗
chunk2396 我刚才办了一个押金退款业务
chunk3955 你帮我看一下账号
chunk3182 我电池给我吞了新电池没有开柜
chunk1738 你这个怎么扫怎么好像不行这有吗
chunk3846 我这边存电失败然后柜门也打不开了怎么办
chunk4865 比如说我们电池被偷了然后他馈电了现在需要我们自己赔付吗
chunk2664 我刚才扫了扫了他前面说那怪呀现在在扫我前面已经是开了一个十一号柜的
chunk144 之前我有一个订单然后他给我部份退款了然后我点公众号退款可以在钱包管里面去退款但是没有功能你公众号自己搜一下
chunk1305 现在这有台主机然后是扫码充不上扫码没反应
chunk4638 退电是必须要我自己扫码才能操作吗
chunk2234 我刚取免费的接头他没有出来里边没有
chunk3168 我以前也是这锂的老用户他说我们这一片就这一个电柜现在基本上换不到好的电池了
chunk7219 你们换电柜里面线设备怎么没启用
chunk1699 这里新人买换电不是有一个免费的换电限白吗
chunk6806 帮我查一下卡还有没有钱
chunk3742 柜子打不开显示失败
chunk5948 东莞跟深圳还有整个广东可以换电吗
chunk8113 帮我开个柜子你们APP不知道怎么做的每次扫柜子怎么扫也扫不开
chunk7754 我刚才在这里租电池然后没有转接线怎么办
chunk7026 我是武汉的一个客户因为我以前在你这边搞的换电现在已经停了两个月了我现在申请购买套餐了以前不是有优惠五十一个月只交三百一吗现在怎么没有了
chunk7686 三十天然后两百七十九到手价两百七十九
chunk6498 寄存的情况像这种寄存换电还主要说我寄存了七天这种在这七天之内还有计费吗
chunk274 现在这锂换电套餐现在涨价了吗
chunk4001 我电动车充电经常会遇到这种情况两块钱充六个小时经常不到六个小时就充满了剩下的资费怎么退
chunk708 我电池为什么是自动关解的你说什么情况
chunk2081 这里是出了一款大电瓶是吧
chunk5973 我刚把电池放好它把门给关了
chunk6722 我想退电池但是他退不了是为啥它显示什么两个以上
chunk5408 我这边是咱们合作的云马车服然后月的月打上个月的款怎么到现在拉新、电费什么都还没到呀
chunk6259 我支付宝今天凌晨三点左右怎么转了我五百块钱什么意思
chunk2470 我换电的时候电池放进去了但是一直不显示
chunk537 我这边有个柜子柜扫码美团他们租的免费送一个线吗这找不出来再换个柜子嘛连免费送去的也找不出来
chunk1537 我原来的这一个这里的套餐是温州那边现在我在无锡这里能转过来吗
chunk7400 我寄存之后它显示没有寄存
chunk1751 我电池能帮我定位一下吗
chunk7402 我有个账号他提交认证申请了怎么还没有通过
chunk6018 你帮我看一下我什么时候寄存的
chunk7456 我刚才我在这旮达要那啥用一块电瓶完然后这不换线的转线头吗这转线头我领出来之后跟我电瓶车那还是连不上我想把这转向头退了我得怎么退呀
chunk99 我刚才在你这弄的这电池今天才刚弄的刚弄的还没用呢你这打开之后我一看你电池的插头和我这插头不匹配我用不了我要退了
chunk423 我昨天充三块钱你看他从几个小度跳掉的你看
chunk142 刚开始我退了一个店然后他说提示我退电失败现在我又到电柜这里了本机号码
chunk2424 我的换电电池和线怎么一起换到7号柜你给我换一下
chunk6308 我刚才注册的这锂换电骑士我在审核中你看一下
chunk4831 我套餐过去了还可以用吗套餐过去了
chunk4487 我帮我查一个账户号我账户号在我寄存了电池但是我早过期了呀我寄存了呀电池
chunk2126 我的电池放进去现在门不开拿不出来了
chunk1931 我刚才这边换了个电池嘛电池我应该是放正了的但是箱子关上之后这个电池他没有弹出来
chunk6708 我电瓶之前不小心在APP上操作断电了然后恢复怎么恢复我看你要只能恢复半小时间呢
chunk2180 我前面联系过你们客服的
chunk4797 我APP里显示的失败是什么意思但是我实际已经成功了
chunk7520 开一下柜门他是有个因为它是跨区的然后现在只能充电不能换电
chunk698 他我现在退电池的话他没有两个格口咋办能不能开一下
chunk2082 我刚才我换电为什么一直都换不了换了几个柜子它一直重新检测不了电池
chunk4341 刚套餐买错了上次已经讲过麻烦帮忙催一下
chunk7379 我电池是不是在电柜里面没拿出来呀
chunk7422 我好像完全实名也可以用吧
chunk7384 刚才我想寄存但是我把寄存放进去了就可以了吗
chunk1385 为什么凌晨四点会扣了我五百块钱呢
chunk6868 放到余额里边我是用微信付的
chunk2074 我现在四家村这边租了个电池然后它的电池出来了是头对不上我车的原装的插头然后我需要一条线能不能帮我们打开一个柜然后让我拿一下线
chunk7016 我到这个是什么地方呢姚林仙境售票处这这块有没有换电的
chunk3150 我旧电池放电柜里然后关上门新电池没有打开
chunk5149 请你开一个柜子吧好像打不开
chunk530 我电池被禁止换电了帮我解读一下给我
chunk364 帮我弹个电池呗
chunk3585 我在这换电呢坏的电池进去了然后是关上门了锁了门之后但是新接的电柜它是二应该是二号门他应该开了但是他打不开门他自己开不开不出来现在
chunk3026 我刚才电取出来他的柜门朝着外边我不小心他又把门关上了电池没拿出来
chunk8014 我今天电池都到期了我忘记还了我这边APP上面显示逾期一天几个小时了有没有什么问题呀
chunk7647 为啥扣了五百块钱
chunk3823 电柜的编码吗看一下2021
chunk6810 电池卡了箱门不打开
chunk2104 我反映的情况能不能解决
chunk4217 人已经在武汉区你们吗这锂换电下面有没有
chunk6517 这锂换电是吧我电池被偷了然后你们前段时间有人打电话给我然后又扣了我的钱支付宝里面扣了五百然后你们电池我告诉你们地址你们去拿回来
chunk7944 我这个钱啥时退我
chunk8229 我想寄存个电池柜子有两个空格怎么寄存不了呢
chunk8360 我的电池放进去我识别不了
chunk2651 换电池放进去了柜门没开
chunk6556 我上午打了个电话怎么的我们充电充了只有充了十块钱的嘛十块钱的十二个小时嘛他给我只充了八个小时嘛钱怎么还没退回来嘞
chunk591 我租的电池它跟我电车它头是不一样的然后是什么怎么解决呢
chunk5023 叫线材吗我也不知道他一个转
chunk6930 上次十一号我打电话有个什么退款吗没给我退呀
chunk4738 我们小区充电桩一直不充电
chunk7170 你换电扫码坏掉了怎么扫不进去
chunk383 我充电刚充可能也就一个小时但是我交钱交了五个小时刚说充电结束了
chunk3141 我电池我换电打开的是九号六号也打开了我放错了放到六号里面了怎么办
chunk8149 我们家楼下的充电的坏了呀这两天了还没人过来修一下
chunk1563 我本机号码不是收了你们这里的电吗然后我寄存了然后我就现在又解冻了最重要就是电池已经退还在你电箱柜里面是吗
chunk7846 这电它是没电了吗我刚开的还挺快的他一下子就死机了就没电了现在我一点电都没有了
chunk3555 我之前有给你们通过电话你们客服有跟我说我剩余额的天数给我补一半的嘛然后现在也没补
chunk7639 我现在刚注册了一个这锂换电然后为什么一直在审核中呢什么情况
chunk6038 我有一个电池国庆的时候没有使用但是天数被扣除了我已经跟客服申请过了然后现在我想怎么申请补回去那几天
chunk6003 可以帮我换一下电吗
chunk4579 这边帮我开一下三号箱的电瓶我头子不接不了换出来的
chunk3859 我刚租的新电瓶然后他让我取线这线也没出来呀
chunk226 我刚才换了一个电瓶先租了个电瓶然后我扫线扫不出来呀他只是响了然后线没有给我
chunk7977 我交完换电池月租的然后现在我要是重新取电池我现在就直接扫直接取吗
